Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteArchivoExcel,Chrome 113.0.0.0,,,2023-05-29 12:39:10,2023-05-29 12:40:00,"49,950s",PASSED
,,,,,,,
Test Cases/CasoWebConArchivoCsv,Chrome 113.0.0.0,,,2023-05-29 12:39:11,2023-05-29 12:39:29,"18,391s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 12:39:12,2023-05-29 12:39:15,"3,584s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-29 12:39:15,2023-05-29 12:39:20,"5,039s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 12:39:20,2023-05-29 12:39:20,"0,208s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-29 12:39:20,2023-05-29 12:39:21,"0,401s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-29 12:39:21,2023-05-29 12:39:22,"0,767s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-29 12:39:22,2023-05-29 12:39:23,"1,729s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-29 12:39:23,2023-05-29 12:39:24,"0,953s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-29 12:39:24,2023-05-29 12:39:25,"0,911s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:39:25,2023-05-29 12:39:26,"0,880s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:39:26,2023-05-29 12:39:27,"1,255s",PASSED
