Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteArchivoCsv,Chrome 113.0.0.0,,,2023-05-30 12:20:48,2023-05-30 12:21:36,"47,676s",PASSED
,,,,,,,
Test Cases/CasosExcel/CasoWebConArchivoCsvExcel,Chrome 113.0.0.0,,,2023-05-30 12:20:48,2023-05-30 12:21:05,"16,941s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-30 12:20:49,2023-05-30 12:20:52,"3,213s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-30 12:20:52,2023-05-30 12:20:57,"4,990s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-30 12:20:57,2023-05-30 12:20:57,"0,185s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-30 12:20:57,2023-05-30 12:20:58,"0,299s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-30 12:20:58,2023-05-30 12:20:58,"0,609s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-30 12:20:58,2023-05-30 12:21:00,"1,208s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-30 12:21:00,2023-05-30 12:21:01,"1,776s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-30 12:21:01,2023-05-30 12:21:02,"0,751s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-30 12:21:02,2023-05-30 12:21:03,"0,759s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-30 12:21:03,2023-05-30 12:21:04,"0,787s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-30 12:21:04,2023-05-30 12:21:04,"0,418s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-30 12:21:04,2023-05-30 12:21:04,"0,400s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-30 12:21:04,2023-05-30 12:21:05,"0,832s",PASSED
,,,,,,,
