Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteArchivoExcel,Chrome 113.0.0.0,,,2023-05-29 12:41:00,2023-05-29 12:41:50,"49,691s",PASSED
,,,,,,,
Test Cases/CasoWebConArchivoCsvExcel,Chrome 113.0.0.0,,,2023-05-29 12:41:01,2023-05-29 12:41:19,"18,370s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 12:41:02,2023-05-29 12:41:06,"3,875s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-29 12:41:06,2023-05-29 12:41:11,"4,914s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 12:41:11,2023-05-29 12:41:11,"0,198s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-29 12:41:11,2023-05-29 12:41:11,"0,375s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-29 12:41:11,2023-05-29 12:41:12,"0,831s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-29 12:41:12,2023-05-29 12:41:13,"1,438s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-29 12:41:13,2023-05-29 12:41:15,"1,293s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-29 12:41:15,2023-05-29 12:41:16,"0,948s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:41:16,2023-05-29 12:41:16,"0,888s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:41:16,2023-05-29 12:41:17,"0,896s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-29 12:41:17,2023-05-29 12:41:18,"0,500s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-29 12:41:18,2023-05-29 12:41:18,"0,530s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-29 12:41:18,2023-05-29 12:41:19,"0,823s",PASSED
,,,,,,,
Test Cases/CasoWebConArchivoCsvExcel,Chrome 113.0.0.0,,,2023-05-29 12:41:19,2023-05-29 12:41:34,"14,725s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 12:41:19,2023-05-29 12:41:21,"1,732s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-29 12:41:21,2023-05-29 12:41:26,"4,927s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 12:41:26,2023-05-29 12:41:26,"0,177s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-29 12:41:26,2023-05-29 12:41:26,"0,037s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-29 12:41:26,2023-05-29 12:41:27,"0,854s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-29 12:41:27,2023-05-29 12:41:28,"1,167s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-29 12:41:28,2023-05-29 12:41:30,"1,488s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-29 12:41:30,2023-05-29 12:41:31,"0,839s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:41:31,2023-05-29 12:41:31,"0,809s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:41:31,2023-05-29 12:41:32,"0,860s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-29 12:41:32,2023-05-29 12:41:33,"0,421s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-29 12:41:33,2023-05-29 12:41:33,"0,540s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-29 12:41:33,2023-05-29 12:41:34,"0,837s",PASSED
,,,,,,,
Test Cases/CasoWebConArchivoCsvExcel,Chrome 113.0.0.0,,,2023-05-29 12:41:34,2023-05-29 12:41:50,"15,619s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 12:41:34,2023-05-29 12:41:36,"1,775s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-29 12:41:36,2023-05-29 12:41:42,"5,791s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 12:41:42,2023-05-29 12:41:42,"0,178s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-29 12:41:42,2023-05-29 12:41:42,"0,030s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-29 12:41:42,2023-05-29 12:41:43,"0,828s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-29 12:41:43,2023-05-29 12:41:44,"1,233s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-29 12:41:44,2023-05-29 12:41:45,"1,397s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-29 12:41:45,2023-05-29 12:41:46,"0,917s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:41:46,2023-05-29 12:41:47,"0,862s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:41:47,2023-05-29 12:41:48,"0,918s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-29 12:41:48,2023-05-29 12:41:49,"0,440s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-29 12:41:49,2023-05-29 12:41:49,"0,444s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-29 12:41:49,2023-05-29 12:41:50,"0,782s",PASSED
