Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteArchivoCsv,Chrome 113.0.0.0,,,2023-05-29 12:33:57,2023-05-29 12:34:48,"50,821s",PASSED
,,,,,,,
Test Cases/CasoWebConArchivoCsv,Chrome 113.0.0.0,,,2023-05-29 12:33:57,2023-05-29 12:34:17,"20,023s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 12:33:58,2023-05-29 12:34:03,"4,587s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-29 12:34:03,2023-05-29 12:34:09,"5,808s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 12:34:09,2023-05-29 12:34:09,"0,221s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-29 12:34:09,2023-05-29 12:34:10,"0,595s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-29 12:34:10,2023-05-29 12:34:10,"0,757s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-29 12:34:10,2023-05-29 12:34:12,"1,661s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-29 12:34:12,2023-05-29 12:34:13,"1,003s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-29 12:34:13,2023-05-29 12:34:14,"0,898s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:34:14,2023-05-29 12:34:15,"0,862s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:34:15,2023-05-29 12:34:16,"0,905s",PASSED
